,date,sknt,gust
0,2014-08-02 14:53:00,7,7
1,2014-08-04 14:50:00,17,20
2,2014-08-05 14:48:00,23,30
3,2014-08-06 14:48:00,25,30
4,2014-08-07 14:49:00,33,41
5,2014-08-08 14:48:00,21,31
6,2014-08-09 14:55:00,15,15
7,2014-08-10 14:52:00,6,6
8,2014-08-11 14:56:00,6,6
9,2014-08-12 14:54:00,33,38
10,2014-08-13 14:50:00,38,47
11,2014-08-14 14:52:00,10,10
12,2014-08-15 14:51:00,5,5
13,2014-08-16 14:51:00,20,20
14,2014-08-17 14:50:00,27,33
15,2014-08-18 14:48:00,16,20
16,2014-08-19 14:54:00,2,2
17,2014-08-20 14:59:00,8,8
18,2014-08-22 14:58:00,17,17
19,2014-08-23 14:52:00,7,7
20,2014-08-24 14:53:00,8,8
21,2014-08-25 14:49:00,5,5
22,2014-08-26 14:53:00,14,18
23,2014-08-27 14:54:00,26,33
24,2014-08-28 14:50:00,39,47
25,2014-08-29 14:49:00,10,10
26,2014-08-30 14:57:00,29,34
27,2014-09-03 14:48:00,39,47
28,2014-09-04 14:57:00,24,24
29,2014-09-05 14:51:00,26,29
30,2014-09-06 14:49:00,37,43
31,2014-09-07 14:52:00,30,30
32,2014-09-08 14:55:00,6,6
33,2014-09-09 14:49:00,9,9
34,2014-09-10 14:56:00,15,21
35,2014-09-11 14:49:00,51,59
36,2014-09-12 14:55:00,11,11
37,2014-09-13 14:52:00,35,35
38,2014-09-14 14:53:00,20,20
39,2014-09-15 14:54:00,9,9
40,2014-09-16 14:53:00,24,24
41,2014-09-17 14:53:00,6,6
42,2014-09-18 14:53:00,40,50
43,2014-09-19 14:53:00,4,4
44,2014-09-20 14:48:00,48,48
45,2014-09-21 14:52:00,31,42
46,2014-09-22 14:56:00,63,67
47,2014-09-23 14:53:00,44,53
48,2014-09-24 14:51:00,8,8
49,2014-09-25 14:47:00,5,5
50,2014-09-26 14:54:00,5,5
51,2014-09-27 14:47:00,13,17
52,2014-09-28 14:53:00,21,21
53,2014-09-29 14:56:00,7,7
54,2014-09-30 14:52:00,6,6
55,2014-10-01 14:49:00,5,5
56,2014-10-02 14:50:00,2,2
57,2014-10-03 14:50:00,10,10
58,2014-10-04 14:49:00,38,47
59,2014-10-05 14:51:00,29,29
60,2014-10-06 14:52:00,14,19
61,2014-10-08 14:55:00,47,56
62,2014-10-09 14:49:00,30,30
63,2014-10-10 14:54:00,34,42
64,2014-10-11 14:57:00,32,36
65,2014-10-12 14:56:00,18,24
66,2014-10-13 14:51:00,31,36
67,2014-10-14 14:53:00,28,28
68,2014-10-15 14:48:00,23,31
69,2014-10-16 14:51:00,33,45
70,2014-10-17 14:48:00,43,52
71,2014-10-18 14:50:00,27,34
72,2014-10-19 14:50:00,39,45
73,2014-10-20 14:56:00,21,27
74,2014-10-21 14:51:00,22,27
75,2014-10-22 14:52:00,49,55
76,2014-10-23 14:54:00,50,59
77,2014-10-24 14:52:00,17,17
78,2014-10-25 14:53:00,16,16
79,2014-10-26 14:52:00,33,39
80,2014-10-27 14:55:00,55,59
81,2014-10-28 14:50:00,35,43
82,2014-10-29 14:48:00,45,45
83,2014-10-30 14:51:00,27,27
84,2014-10-31 14:47:00,15,15
85,2014-11-01 14:53:00,27,27
86,2014-11-02 14:49:00,65,76
87,2014-11-03 14:55:00,59,66
88,2014-11-04 14:49:00,32,32
89,2014-11-05 14:55:00,47,47
90,2014-11-06 14:48:00,7,7
91,2014-11-07 14:52:00,41,50
92,2014-11-08 14:53:00,29,29
93,2014-11-09 14:56:00,34,34
94,2014-11-10 14:51:00,28,28
95,2014-11-11 14:53:00,36,44
96,2014-11-12 14:47:00,34,34
97,2014-11-13 14:54:00,23,34
98,2014-11-14 14:50:00,43,53
99,2014-11-15 14:48:00,32,32
100,2014-11-16 14:55:00,34,34
101,2014-11-17 14:51:00,39,45
102,2014-11-18 14:47:00,54,62
103,2014-11-19 14:47:00,26,26
104,2014-11-20 14:55:00,32,38
105,2014-11-21 14:53:00,59,65
106,2014-11-22 14:49:00,56,63
107,2014-11-23 14:53:00,43,43
108,2014-11-25 14:51:00,38,38
109,2014-11-26 14:56:00,9,9
110,2014-11-27 14:52:00,23,23
111,2014-11-28 14:52:00,27,27
112,2014-11-29 14:53:00,28,28
113,2014-11-30 14:49:00,48,52
114,2014-12-01 14:52:00,58,58
115,2014-12-02 14:55:00,25,25
116,2014-12-03 14:52:00,36,41
117,2014-12-04 14:55:00,54,54
118,2014-12-05 14:57:00,32,32
119,2014-12-06 14:53:00,25,25
120,2014-12-07 14:55:00,59,66
121,2014-12-08 14:48:00,18,18
122,2014-12-09 14:48:00,37,42
123,2014-12-10 14:51:00,40,45
124,2014-12-11 14:52:00,10,10
125,2014-12-12 14:47:00,16,21
126,2014-12-13 14:52:00,31,40
127,2014-12-14 14:51:00,27,36
128,2014-12-15 14:51:00,6,6
129,2014-12-16 14:54:00,23,29
130,2014-12-17 14:52:00,15,15
131,2014-12-18 14:53:00,64,64
132,2014-12-19 14:56:00,17,17
133,2014-12-20 14:49:00,11,11
134,2014-12-21 14:47:00,16,16
135,2014-12-22 14:50:00,17,17
136,2014-12-23 14:52:00,15,15
137,2014-12-24 14:51:00,43,48
138,2014-12-25 14:52:00,66,79
139,2014-12-26 14:51:00,54,64
140,2014-12-27 14:51:00,32,32
141,2014-12-28 14:49:00,43,52
142,2014-12-29 14:56:00,50,50
143,2014-12-30 14:58:00,43,50
144,2014-12-31 14:55:00,43,58
145,2015-01-01 14:48:00,38,51
146,2015-01-02 14:53:00,59,69
147,2015-01-03 14:58:00,27,27
148,2015-01-04 14:50:00,61,75
149,2015-01-05 14:55:00,84,98
150,2015-01-06 14:52:00,27,27
151,2015-01-08 14:55:00,56,62
152,2015-01-09 14:55:00,63,69
153,2015-01-10 14:52:00,49,49
154,2015-01-11 14:54:00,54,54
155,2015-01-12 14:49:00,57,57
156,2015-01-13 14:51:00,24,24
157,2015-01-16 14:53:00,60,69
158,2015-01-17 14:51:00,31,31
159,2015-01-18 14:57:00,38,52
160,2015-01-19 14:53:00,56,65
161,2015-01-20 14:49:00,55,58
162,2015-01-21 14:56:00,13,13
163,2015-01-22 14:54:00,27,27
164,2015-01-23 14:53:00,33,41
165,2015-01-25 14:51:00,56,64
166,2015-01-26 14:55:00,12,12
167,2015-01-27 14:50:00,69,78
168,2015-01-28 14:52:00,30,47
169,2015-01-29 14:53:00,23,23
170,2015-01-30 14:55:00,10,10
171,2015-01-31 14:47:00,79,90
172,2015-02-01 14:50:00,58,58
173,2015-02-02 14:55:00,17,17
174,2015-02-03 14:56:00,38,51
175,2015-02-04 14:49:00,41,50
176,2015-02-05 14:50:00,42,46
177,2015-02-06 14:50:00,34,40
178,2015-02-07 14:51:00,49,49
179,2015-02-08 14:50:00,25,25
180,2015-02-09 14:54:00,23,28
181,2015-02-10 14:51:00,40,40
182,2015-02-11 14:59:00,9,9
183,2015-02-12 14:53:00,30,36
184,2015-02-13 14:57:00,58,66
185,2015-02-14 14:53:00,32,41
186,2015-02-15 14:50:00,71,79
187,2015-02-16 14:52:00,78,89
188,2015-02-17 14:50:00,14,14
189,2015-02-18 14:53:00,13,13
190,2015-02-20 14:55:00,70,76
191,2015-02-21 14:54:00,39,56
192,2015-02-22 14:52:00,32,32
193,2015-02-23 14:48:00,68,77
194,2015-02-25 14:52:00,41,41
195,2015-02-26 14:54:00,23,23
196,2015-02-27 14:51:00,27,27
197,2015-03-01 14:51:00,30,38
