,WindDir,valid,UP,M,BL,FG,RA,SN,tmpf,dwpf,relh,sknt,vsby,gust
0,W,2014-07-01 04:50:00,False,False,False,True,False,False,53.6,53.6,100,16,0.06,16
1,W,2014-07-01 14:49:00,False,True,False,False,False,False,64.4,53.6,67.95,29,15,36
2,SW,2014-07-01 22:49:00,False,False,False,True,False,False,59,59,100,38,0,44
3,W,2014-07-02 04:48:00,False,False,False,True,False,False,59,59,100,42,0,45
4,W,2014-07-02 14:48:00,False,False,False,False,True,False,64.4,57.2,77.45,21,40,21
5,W,2014-07-02 22:54:00,False,False,False,True,False,False,55.4,55.4,100,35,0.06,35
6,W,2014-07-03 04:55:00,False,True,False,False,False,False,53.6,51.8,93.6,30,80,30
7,SW,2014-07-03 14:50:00,False,True,False,False,False,False,60.8,57.2,87.92,13,15,13
8,W,2014-07-03 22:55:00,True,True,False,False,False,False,53.6,51.8,93.6,33,15,33
9,W,2014-07-04 04:57:00,True,True,False,False,False,False,51.8,51.8,100,28,0,28
10,NW,2014-07-04 14:50:00,True,True,False,False,False,False,48.2,48.2,100,8,0,8
11,N,2014-07-04 22:50:00,True,True,False,False,False,False,42.8,42.8,100,30,0,36
12,N,2014-07-05 04:57:00,True,True,False,False,False,False,37.4,37.4,100,41,0,63
13,NW,2014-07-05 14:52:00,False,True,False,False,False,False,41,37.4,86.89,54,100,66
14,NW,2014-07-05 22:58:00,False,False,False,True,False,False,44.6,44.6,100,65,0.06,73
15,W,2014-07-06 04:59:00,False,False,False,True,False,False,39.2,39.2,100,52,0,52
16,W,2014-07-06 14:54:00,False,True,False,False,False,False,51.8,42.8,71.26,34,70,38
17,W,2014-07-06 22:54:00,False,True,False,False,False,False,46.4,44.6,93.4,40,80,40
18,W,2014-07-07 04:54:00,False,True,False,False,False,False,46.4,44.6,93.4,36,60,36
19,W,2014-07-07 14:56:00,False,False,False,False,False,False,53.6,50,87.56,11,15,11
20,W,2014-07-07 22:55:00,False,False,False,True,False,False,53.6,53.6,100,34,0,34
21,W,2014-07-08 04:52:00,False,False,False,True,False,False,51.8,51.8,100,42,0,42
22,W,2014-07-08 14:56:00,False,False,False,True,False,False,57.2,55.4,93.69,30,5,38
23,SW,2014-07-08 22:49:00,False,False,False,True,False,False,57.2,57.2,100,42,0,60
24,W,2014-07-09 04:55:00,False,False,False,True,False,False,48.2,48.2,100,58,0.06,66
25,W,2014-07-09 14:52:00,False,True,False,False,False,False,51.8,44.6,76.34,41,65,41
26,W,2014-07-09 22:48:00,False,False,False,True,False,False,48.2,48.2,100,32,0,32
27,W,2014-07-10 04:49:00,False,False,False,True,False,False,44.6,44.6,100,39,0,49
28,W,2014-07-10 14:50:00,False,True,False,False,False,False,46.4,42.8,87.19,15,100,15
29,W,2014-07-10 22:51:00,False,True,False,False,False,False,41,37.4,86.89,24,100,24
30,W,2014-07-11 04:49:00,False,True,False,False,False,False,41,39.2,93.24,23,110,23
31,W,2014-07-11 14:54:00,False,True,False,False,False,False,53.6,41,62.23,11,95,15
32,W,2014-07-11 22:49:00,False,True,False,False,False,False,44.6,39.2,81.2,16,100,16
33,W,2014-07-12 04:50:00,False,True,False,False,False,False,44.6,41,87.09,11,90,11
34,W,2014-07-12 14:49:00,False,True,False,False,False,False,55.4,41,58.27,21,65,26
35,SW,2014-07-12 22:50:00,False,True,False,False,False,False,53.6,50,87.56,31,3,35
36,SW,2014-07-13 04:50:00,False,False,False,True,False,False,53.6,53.6,100,24,0,24
37,SW,2014-07-13 14:49:00,False,False,False,True,False,False,53.6,53.6,100,25,0,37
38,SW,2014-07-13 22:50:00,True,True,False,False,False,False,55.4,55.4,100,33,0,43
39,W,2014-07-14 04:49:00,False,False,False,True,False,False,48.2,48.2,100,43,0.06,56
40,W,2014-07-14 14:51:00,False,True,False,False,False,False,59,51.8,76.98,8,30,8
41,SW,2014-07-14 22:49:00,False,False,False,True,False,False,53.6,53.6,100,23,0,23
42,SW,2014-07-15 04:55:00,False,True,False,False,False,False,51.8,44.6,76.34,15,30,15
43,SW,2014-07-15 14:50:00,False,False,False,True,False,False,53.6,53.6,100,27,0.06,38
44,SW,2014-07-15 22:48:00,True,True,False,False,False,False,53.6,53.6,100,23,0,28
45,W,2014-07-16 04:49:00,True,True,False,False,False,False,50,50,100,24,0.06,24
46,W,2014-07-17 14:50:00,False,False,False,True,False,False,44.6,44.6,100,26,0.12,29
47,W,2014-07-17 22:56:00,False,False,False,True,False,False,41,41,100,37,0,37
48,W,2014-07-18 04:55:00,False,False,False,True,False,False,39.2,39.2,100,29,0.06,29
49,W,2014-07-18 14:51:00,False,True,False,False,False,False,48.2,42.8,81.47,14,40,20
50,W,2014-07-18 22:55:00,False,True,False,False,False,False,44.6,39.2,81.2,11,80,11
51,E,2014-07-19 04:59:00,False,True,False,False,False,False,42.8,37.4,81.07,4,40,4
52,SE,2014-07-20 04:54:00,False,True,False,False,False,False,44.6,39.2,81.2,11,70,11
53,SE,2014-07-20 14:53:00,False,False,False,True,False,False,46.4,42.8,87.19,10,5,17
54,SW,2014-07-20 22:56:00,True,True,False,False,False,False,46.4,46.4,100,4,0.12,4
55,N,2014-07-21 04:56:00,False,True,False,False,False,False,44.6,39.2,81.2,7,60,7
56,W,2014-07-21 14:49:00,False,True,False,False,False,False,55.4,48.2,76.66,9,45,9
57,W,2014-07-21 22:56:00,False,True,False,False,False,False,50,48.2,93.5,15,70,15
58,NW,2014-07-22 04:52:00,False,False,False,True,False,False,50,50,100,4,0.12,4
59,W,2014-07-22 14:51:00,False,True,False,False,False,False,59,51.8,76.98,14,20,14
60,W,2014-07-22 22:55:00,False,False,False,True,False,False,55.4,55.4,100,31,0,31
61,W,2014-07-23 04:53:00,False,False,False,True,False,False,55.4,55.4,100,43,0,43
62,W,2014-07-23 14:49:00,False,False,False,True,False,False,59,59,100,29,0.5,29
63,NW,2014-07-23 22:49:00,True,True,False,False,False,False,53.6,53.6,100,20,0.06,26
64,NW,2014-07-24 04:49:00,False,False,False,True,False,False,46.4,46.4,100,19,0.12,19
65,W,2014-07-24 14:48:00,False,False,False,True,False,False,46.4,46.4,100,17,0.12,17
66,NW,2014-07-24 22:49:00,False,True,False,False,False,False,41,19.4,41.54,17,100,17
67,NW,2014-07-25 04:50:00,False,False,False,True,False,False,42.8,42.8,100,22,0,41
68,W,2014-07-25 14:56:00,False,False,False,True,False,False,46.4,46.4,100,28,0.06,42
69,W,2014-07-25 22:48:00,False,False,False,True,False,False,46.4,46.4,100,29,0,29
70,W,2014-07-26 04:53:00,False,False,False,True,False,False,42.8,42.8,100,33,0,33
71,W,2014-07-26 14:51:00,False,True,False,False,False,False,50,41,71.07,24,35,24
72,W,2014-07-26 22:48:00,False,False,False,True,False,False,46.4,46.4,100,25,0,25
73,W,2014-07-27 04:49:00,False,False,False,True,False,False,46.4,46.4,100,22,0,22
74,W,2014-07-27 14:52:00,False,True,False,False,False,False,50,48.2,93.5,31,20,39
75,W,2014-07-27 22:51:00,False,False,False,True,False,False,50,50,100,28,0,28
76,W,2014-07-28 04:54:00,False,True,False,False,False,False,51.8,37.4,57.77,26,35,26
77,SW,2014-07-28 14:54:00,True,True,False,False,False,False,51.8,51.8,100,3,0.06,3
78,W,2014-07-28 22:53:00,True,True,False,False,False,False,48.2,48.2,100,18,0,18
79,NW,2014-07-29 04:53:00,False,False,False,True,False,False,42.8,42.8,100,34,0.06,34
80,W,2014-07-29 14:50:00,False,True,False,False,False,False,48.2,42.8,81.47,6,1,6
81,W,2014-07-29 22:49:00,False,True,False,False,False,False,41,37.4,86.89,10,90,10
82,S,2014-07-30 04:51:00,False,True,False,False,False,False,41,35.6,80.93,7,90,7
83,SW,2014-07-30 14:54:00,False,True,False,False,False,False,48.2,39.2,70.88,9,80,9
84,SW,2014-07-30 22:53:00,False,True,False,False,False,False,42.8,41,93.3,16,80,16
85,SW,2014-07-31 04:53:00,False,True,False,False,False,False,42.8,41,93.3,22,30,22
86,SW,2014-07-31 14:50:00,False,False,False,True,False,False,44.6,44.6,100,24,0,33
87,W,2014-07-31 22:50:00,False,False,False,True,False,False,44.6,44.6,100,26,0.06,26
88,W,2014-08-01 04:54:00,False,False,False,True,False,False,44.6,42.8,93.35,24,0.12,24
89,SW,2014-08-01 14:53:00,False,False,False,False,False,False,53.6,48.2,81.87,12,6,12
90,SW,2014-08-01 22:56:00,False,True,False,False,False,False,50,46.4,87.37,25,15,25
91,SW,2014-08-02 04:54:00,False,True,False,False,False,False,51.8,41,66.48,10,20,10
92,S,2014-08-02 14:53:00,False,False,False,True,False,False,50,50,100,7,0,7
93,NE,2014-08-02 22:55:00,False,True,False,False,False,False,50,46.4,87.37,7,20,7
94,N,2014-08-03 04:52:00,False,True,False,False,False,False,51.8,41,66.48,5,20,5
95,NE,2014-08-03 22:55:00,False,True,False,False,False,False,51.8,48.2,87.47,4,15,4
96,NE,2014-08-04 04:52:00,False,True,False,False,False,False,50,46.4,87.37,4,15,4
97,W,2014-08-04 14:50:00,False,False,False,True,False,False,53.6,53.6,100,17,0.06,20
98,NW,2014-08-04 22:52:00,False,True,False,False,False,False,48.2,44.6,87.28,20,30,20
99,W,2014-08-05 04:49:00,False,False,False,True,False,False,48.2,48.2,100,18,0,18
100,W,2014-08-05 14:48:00,False,True,False,False,False,False,53.6,48.2,81.87,23,20,30
101,NW,2014-08-05 22:55:00,False,True,False,False,False,False,48.38,47.48,96.68,19,25,19
102,NW,2014-08-06 04:52:00,False,False,False,True,False,False,46.4,46.4,100,20,0,20
103,NW,2014-08-06 14:48:00,False,False,False,True,False,False,46.4,46.4,100,25,0.06,30
